,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층
0,"128,000",2014,2019,마장로,00137,00000,11200,01,0,3005009,상왕십리동,0811,0000,11200,10100,1,텐즈힐(2구역),12,1,11200-3024,84.9,811,11200,16
1,"142,500",2014,2019,마장로,00137,00000,11200,01,0,3005009,상왕십리동,0811,0000,11200,10100,1,텐즈힐(2구역),12,2,11200-3024,127.44,811,11200,24
2,"130,500",2014,2019,마장로,00137,00000,11200,01,0,3005009,상왕십리동,0811,0000,11200,10100,1,텐즈힐(2구역),12,5,11200-3024,84.95,811,11200,3
3,"54,000",2001,2019,난계로,00114,00031,11200,02,0,3100018,하왕십리동,1052,0000,11200,10200,1,금호베스트빌,12,1,11200-2,59.79,1052,11200,1
4,"120,000",2015,2019,무학로,00033,00000,11200,01,,3005033,하왕십리동,1066,0000,11200,10200,1,텐즈힐아파트(1단지),12,1,11200-3074,59.88,1066,11200,11
5,"85,000",1996,2019,무학로,00050,00000,11200,01,0,3005033,하왕십리동,0258,0000,11200,10200,1,청계벽산,12,2,11200-4,114.46,258,11200,11
6,"62,800",2001,2019,난계로,00073,00000,11200,02,0,3100018,하왕십리동,1058,0000,11200,10200,1,극동미라주,12,2,11200-1,59.4,1058,11200,14
7,"131,500",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,3,11200-3120,84.99,1070,11200,2
8,"135,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,3,11200-3120,84.96,1070,11200,7
9,"123,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,3,11200-3120,84.99,1070,11200,22
10,"98,800",2017,2019,난계로,00100,00000,11200,00,,3100018,하왕십리동,1071,0000,11200,10200,1,왕십리자이,12,4,,59.99,1071,11200,14
11,"120,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,4,11200-3120,59.94,1070,11200,10
12,"150,000",2015,2019,무학로,00033,00000,11200,01,,3005033,하왕십리동,1066,0000,11200,10200,1,텐즈힐아파트(1단지),12,6,11200-3074,148.8,1066,11200,1
13,"83,000",2017,2019,난계로,00100,00000,11200,00,,3100018,하왕십리동,1071,0000,11200,10200,1,왕십리자이,12,6,,51.94,1071,11200,12
14,"72,700",2001,2019,난계로,00073,00000,11200,02,0,3100018,하왕십리동,1058,0000,11200,10200,1,극동미라주,12,7,11200-1,84.33,1058,11200,9
15,"72,700",2004,2019,난계로,00084,00000,11200,02,0,3100018,하왕십리동,1061,0000,11200,10200,1,풍림아이원,12,7,11200-98,59.936,1061,11200,8
16,"155,000",2015,2019,무학로,00033,00000,11200,01,,3005033,하왕십리동,1066,0000,11200,10200,1,텐즈힐아파트(1단지),12,7,11200-3074,129.34,1066,11200,3
17,"173,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,7,11200-3120,115.99,1070,11200,9
18,"96,000",2017,2019,난계로,00100,00000,11200,00,,3100018,하왕십리동,1071,0000,11200,10200,1,왕십리자이,12,9,,59.99,1071,11200,9
19,"131,000",2015,2019,무학로,00033,00000,11200,01,,3005033,하왕십리동,1066,0000,11200,10200,1,텐즈힐아파트(1단지),12,9,11200-3074,84.88,1066,11200,6
20,"139,000",2015,2019,무학로,00033,00000,11200,01,,3005033,하왕십리동,1066,0000,11200,10200,1,텐즈힐아파트(1단지),12,9,11200-3074,84.88,1066,11200,9
21,"95,000",2017,2019,난계로,00100,00000,11200,00,,3100018,하왕십리동,1071,0000,11200,10200,1,왕십리자이,12,10,,59.99,1071,11200,18
22,"84,500",2001,2019,난계로,00114,00031,11200,02,0,3100018,하왕십리동,1052,0000,11200,10200,1,금호베스트빌,12,10,11200-2,114.93,1052,11200,12
23,"155,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,10,11200-3120,84.96,1070,11200,18
24,"107,000",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,10,11200-3120,59.99,1070,11200,14
25,"77,000",2004,2019,난계로,00084,00000,11200,02,0,3100018,하왕십리동,1061,0000,11200,10200,1,풍림아이원,12,11,11200-98,59.936,1061,11200,5
26,"144,900",2016,2019,왕십리로,00410,00000,11200,00,,3005011,하왕십리동,1070,0000,11200,10200,1,센트라스아파트,12,11,11200-3120,84.99,1070,11200,16
